Title,Distr,TMDB Movie ID,Genre 1,Genre 2,Popularity,Runtime (minutes),Average Vote (/10),Overview,Tagline,Poster Path
From Hell,Fox,768,Horror,Mystery,28.374,122,6.7,Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity.,Only the legend will survive.,/t2WpWM8nBO4sULXr2bDfNEt4qgr.jpg
Just Visiting,Momentum,56715,Comedy,Fantasy,10.865,88,4.6,"A knight and his valet are plagued by a witch, and to repair the damage they make use of the services of a wizard. However, something goes wrong and they are transported from the 12th century to the year 2000. There the knight meets some of his family and slowly learns what this new century is like. However, he still needs to get back to the 12th century to deal with the witch, so he starts looking for a wizard. Remake of  1993 French film Les Visiteurs (The Visitors).","They're not just from another time, they're from France.",/7KqzbefXjADSUE8j2ZsrudvAArY.jpg
Ocean's Eleven,Warner,161,Thriller,Crime,31.958,116,7.4,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",Are you in or out?,/v5D7K4EHuQHFSjveq8LGxdSfrGS.jpg
Charlotte Gray,Film Four,12660,Drama,History,13.297,121,6.0,"This is a drama set in Nazi-occupied France at the height of World War II. Charlotte Gray tells the compelling story of a young Scottish woman working with the French Resistance in the hope of rescuing her lover, a missing RAF pilot. Based on the best-selling novel by Sebastian Faulks.",The story of an ordinary woman in an extraordinary time.,/6RnRclsipl3cZKnDfsu0MrqWCwI.jpg
A Beautiful Mind,UIP,453,Drama,Romance,32.541,135,7.9,"John Nash is a brilliant but asocial mathematician fighting schizophrenia. After he accepts secret work in cryptography, his life takes a turn for the nightmarish.",He saw the world in a way no one could have imagined.,/zwzWCmH72OSC9NA0ipoqw5Zjya8.jpg
The Mothman Prophecies,Helkon SK,2637,Drama,Horror,16.983,119,6.2,Reporter John Klein is plunged into a world of impossible terror and unthinkable chaos when fate draws him to a sleepy West Virginia town whose residents are being visited by a great winged shape that sows hideous nightmares and fevered visions.,What do you see?,/z2PiOTyjbCOnMHY2QJdq3I4jU44.jpg
The Shipping News,BVI,6440,Drama,Romance,12.916,111,6.3,An emotionally-beaten man with his young daughter moves to his ancestral home in Newfoundland to reclaim his life.,You'll never guess what you'll find inside...,/6upEibGBdKmFNeFRfJk8t5zkcOD.jpg
We Were Soldiers,Icon,10590,Action,History,29.635,138,7.1,The story of the first major battle of the American phase of the Vietnam War and the soldiers on both sides that fought it.,"400 U.S paratroopers. 4,000 Vietnamese soldiers. 12,000 miles away from home. 1 man led them into battle.",/q2LeLzw4q9HTelkKx29dyTMf5zK.jpg
Hearts in Atlantis,Warner,11313,Drama,Mystery,12.476,101,6.7,A widowed mother and her son change when a mysterious stranger enters their lives.,What if one of life's great mysteries moved in upstairs?,/qPTEh8vutS5FSCDoR16MWVGHqTm.jpg
Jimmy Neutron: Boy Genius,UIP,12589,Family,Action,21.886,83,5.9,"Jimmy Neutron is a boy genius and way ahead of his friends, but when it comes to being cool, he's a little behind. All until one day when his parents, and parents all over Earth are kidnapped by aliens, it's up to him to lead all the children of the world to rescue their parents.","He may be small, but he's got a big brain!",/zdOVbZk53CiCtgcC4UOSSEFvf5U.jpg
The Royal Tenenbaums,BVI,9428,Comedy,Drama,22.272,110,7.5,"Royal Tenenbaum and his wife Etheline had three children and then they separated. All three children are extraordinary --- all geniuses. Virtually all memory of the brilliance of the young Tenenbaums was subsequently erased by two decades of betrayal, failure, and disaster. Most of this was generally considered to be their father's fault. ""The Royal Tenenbaums"" is the story of the family's sudden, unexpected reunion one recent winter.",Family Isn't A Word ... It's A Sentence.,/syaECBy6irxSgeF0m5ltGPNTWXL.jpg
Crossroads,Momentum,15392,Drama,Music,15.93,99,7.3,"A wanna-be blues guitar virtuoso seeks a long-lost song by legendary musician, Robert Johnson.",Where second best never gets a second chance.,/jSx2NtVcy3PJST6YHefNdxw5euZ.jpg
Collateral Damage,Warner,9884,Action,Thriller,20.549,108,5.7,Firefighter Gordon Brewer is plunged into the complex and dangerous world of international terrorism after he loses his wife and child in a bombing credited to Claudio 'The Wolf' Perrini.,What would you do if you lost everything?,/uyzgI1jqMjQMzbjhMrWvWHd76Ua.jpg
24 Hour Party People,Pathe,2750,Comedy,Drama,9.922,117,7.0,"Manchester, 1976. Tony Wilson is an ambitious but frustrated local TV news reporter looking for a way to make his mark. After witnessing a life-changing concert by a band known as the Sex Pistols, he persuades his station to televise one of their performances, and soon Manchester's punk groups are clamoring for him to manage them. Riding the wave of a musical revolution, Wilson and his friends create the legendary Factory Records label and The Hacienda club.",Share the Ecstacy!,/8f50NQ1wz6hdxfCISCPV8XQ6DII.jpg
Bend It Like Beckham,Helkon SK,455,Comedy,Drama,12.046,112,6.3,"Jess Bhamra, the daughter of a strict Indian couple in London, is not permitted to play organized soccer, even though she is 18. When Jess is playing for fun one day, her impressive skills are seen by Jules Paxton, who then convinces Jess to play for her semi-pro team. Jess uses elaborate excuses to hide her matches from her family while also dealing with her romantic feelings for her coach, Joe.","Sometimes, to follow your dreams... you've got to bend the rules!",/6F2tFbxgqcSIMK5WOZfwoHXaROc.jpg
The One,Col/Tri,10796,Action,Science Fiction,27.068,87,6.1,A sheriff's deputy fights an alternate universe version of himself who grows stronger with each alternate self he kills.,Stealing the power of the universes one by one.,/gcr3t71KmeXINemMrhaGBGVJPwW.jpg
The Scorpion King,UIP,9334,Action,Adventure,32.579,92,5.5,"In ancient Egypt, peasant Mathayus is hired to exact revenge on the powerful Memnon and the sorceress Cassandra, who are ready to overtake Balthazar's village. Amid betrayals, thieves, abductions and more, Mathayus strives to bring justice to his complicated world.",Warrior. Legend. King.,/aITIsX20tACn6jgtyDcCYpRT216.jpg
Roadkill,Fox,71628,Horror,Thriller,7.065,88,5.7,Six young friends on a road trip in Ireland run afoul of gypsies who curse them for accidentally running down an old woman. The curse takes the form of a terrifying flying beast that tries killing them all.,Teenage snack!,/6ZQUotw157KJDRLRKuxa42UYSqz.jpg
John Q,Entm't,8470,Drama,Thriller,25.722,116,7.2,"John Quincy Archibald is a father and husband whose son is diagnosed with an enlarged heart and then finds out he cannot receive a transplant because HMO insurance will not cover it. Therefore, he decides to take a hospital full of patients hostage until the hospital puts his son's name on the donor's list.",Give a father no options and you leave him no choice.,/xEE91LvXiqgs7Hmdl44LCzHtFf6.jpg
Showtime,Warner,5851,Action,Comedy,12.85,95,5.5,A spoof of buddy cop movies where two very different cops are forced to team up on a new reality based T.V. cop show.,Lights. Camera. Aggravation.,/8sIooUxXZo2blCVuAYbL2wkdUfD.jpg
Dog Soldiers,Pathe,11880,Horror,Action,13.084,105,6.7,"A squad of British soldiers on training in the lonesome Scottish wilderness find a wounded Special Forces captain and the remains of his team. As they encounter zoologist Megan, it turns out that werewolves are active in the region. They have to prepare for some action as the there will be a full moon tonight...",Six men. Full moon. No chance.,/cUsSL2x0HYS7QmTwPcEE66b52Wt.jpg
Slackers,Momentum,20009,Comedy,Romance,9.429,86,5.2,"Dave, Sam and Jeff are about to graduate from Holden University with honors in lying, cheating and scheming. The three roommates have proudly scammed their way through the last four years of college and now, during final exams, these big-men-on-campus are about to be busted by the most unlikely dude in school. Self-dubbed Cool Ethan, an ambitious nerd with a bad crush, enters their lives one day and everything begins to unravel.",When all else fails... cheat.,/g3xn7tRnGxVwwKc2tge7nPssywQ.jpg
Thunderpants,Pathe,21605,Comedy,Family,7.753,83,3.5,"An 11-year-old boy's amazing ability to break wind leads him first to fame and then to death row, before it helps him to fulfill his ambition of becoming an astronaut.",Saving the world... One blast at a time!,/dbN8UbXlCWbAFVmn8FdUsqSYWoe.jpg
